Street Address,Mortgage Amount,Tax Deed dated
"1005 Cobb Place Blvd., NW, Kennesaw, GA 30144

",N/A,23-Jan-17
"3221 Calcutta Court, Powder Springs, GA

",N/A,"May 7, 2024


"
"2229 Smoke Stone Cir, Marietta, GA 30062

","$422,847.21

","January 13, 2017

"
"4803 Howard Drive, Powder Springs, GA 30127

","$294,000.00

","November 28, 2023

"
"4828 Duncan Drive, Powder Springs, GA 30127

","$294,000.00

","November 28, 2023

"
"4944 Pippin Dr NW, Acworth, GA 30101

","$151,900.00


","February 2, 2006

"
"330 Anders Path, Marietta, GA 30064

","$940,000.00 

","October 5, 2021

"
"2090 Kolb Ridge Court SW, Marietta, GA 30008

","$148,500.00

","June 9, 2006

"
"4433 Sugar Maple Dr NW, Acworth, GA 30101

","$204,000.00

","August 22, 2016
"
"4349 Highborne Drive NE, Marietta, GA 30066

","$75,000.00 (with a prior Security Deed of $479,751.00 noted)

"," June 8, 2023

"
"2915 Sope Creek Drive, Marietta, GA 30068

","$136,000.00

"," December 7, 2001

"
"1392 Waterford Green Dr, Marietta, GA 30068
","$546,000.00


","May 1, 2007

"
"2200 Hollowbrooke Ct NW, Acworth, GA 30101

","$379,852.54

","January 17, 2008

"
" 2952 Chipmunk Tr SE, Marietta, GA 30067

","$88,493.00

","April 14, 2006

"
" 4251 Sorrells Blvd, Powder Springs, GA 30073

","$122,550.00

","February 27, 1998

"
" 5591 and 5595 Edith Street, Austell, GA 30106-3303

","$195,000.00

"," February 25, 2022

"
"2278 Smith Ave SW, Marietta, GA 30064

","$218,960.00

","September 5, 2019

"
" 4803 Davitt Ct NW, Acworth, GA 30102

","$166,920.00

","June 25, 2019

"
"2690 Bent Hickory Dr SE, Smyrna, GA 30082

"," $159,920.00

","January 5, 2005
"
"3744 Thackary Dr, Powder Springs, GA 30127

","$285,000.00

","August 10, 2015

"
"2679 Tucson Way, Powder Springs, GA 30127

","$260,200.00

","October 18, 2021

"
" 4335 Commodore Rd, Powder Springs, GA 30127

","$354,790.00

","July 20, 2020

"
"4527 Baker Grove Rd, Acworth, GA 30101

","$125,113.00

","November 16, 2010

"
"1452 Seafoam Court, Marietta, GA 30066

","$166,250.00

","July 19, 2006

"
"2670 Bankstone Drive SW, Marietta, GA 30064

","$109,350.00

","January 8, 2008

"
"315 Renae Ln SW, Marietta, GA 30060

","$300,000.00

","August 31, 2022

"
"4845 Willow St, Acworth, GA

","$334,500.00

","March 21, 2022

"
"2592 Deerfield Circle, Marietta, GA 30064

","$159,000.00

","February 2, 2022

"
"1806 Wynthrop Manor Dr, Marietta, GA 30064

","$285,000.00 (with a prior Security Deed of $1,015,000.00 noted)

","January 23, 2008

"
"2833 Golden Club Bend, Austell, GA 30106

","$157,500.00

","March 7, 2006

"
"1107 Wynne's Ridge Circle, Marietta, GA 30067

",N/A,"January 21, 2025

"
