case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type
RP-2025-205094,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbueBt4CoN0V7WaEW+qwiSd+v93LBOQW7zAj9U9ax6ZeIbnPKAPTuOZYVMFeWeBbTw7IAwIHid3JCYqAMR3gkPxDTYI0SptqM+Z67XeF1y/vGhYYXSkXikquBYDAs3a4Ew==,05/30/2025,"t

AS

Lot 19, in Black 4, Copperfield Southdown Village, Section 5, a sublioiston i Herris
County, Texas according to the map ot plat thereof recorded in Volum 338, Page 122,
fap Records of Harvis County, Texas and voi “om as

jn

‘",,2,2,Harris,2025-05-31 11:34:21.841984,True,L/P
RP-2025-205080,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUA5LKPqjqpPyvOyxDQ2QotWw3mPfcbWQIBZyOaTffyH1mxwWF1RkOWp63CfhhSHgqGRr7y8Yd2c0VQZdux+0A267eRy/4D3Y0TgSBvcdqP1USQGqugWveBjSqObpR8Fkw==,05/30/2025,":
Lot 11, Block 1, Glennnlack Farms, Section Ninetec ifeting Pint No. 1, an

a!
addition in Harris County, Texts, aocording to the Map’ pr Ent gecorded in Film Code
No, 544049, Map Records of Harris County, Teans andjtohichy property ts commonly

Innown as 1419 Keitnoway Park Drive, Spring, 1yis77379.
i",,2,2,Harris,2025-05-31 11:34:31.721499,True,L/P
RP-2025-204837,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQCCImOk83mppFSREwYw3Iv+aD4xnuRnPmH4aBROj073GFozYshtFIgtL80jm5v7xkMVKT36L0JhL8TTu8jp5fAK342sCL1+macjJNv3PY2AlrEHuqy3iXlclfk4GEGIqA==,05/29/2025,":

section one (1

Lot four (4), Block two (2), Me

‘ng records of Harris
851 Mentorial Drive,

‘",,2,2,Harris,2025-05-31 11:34:41.367775,True,L/P
RP-2025-204799,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVQCZUMQZ2Sxq1BALB6PSqTUJMA0YxVgqmjQHNKMvuwQRJJmVHQP6zuD5g6NHqznotjbyrldVvMfnFi9CQ8inb9LFK0p+PiHhcIwJxYI5wiH32gnvcb78fbKpQtYVhOJLQ==,05/29/2025,";

County, Texas, according to the nap oF plat thereof recorded in volume 56, page 14,
the map and/or plat records of Harris Cownty, Texas and twhich property i coun!

mown as 414 Isolde Drive, Houston, TX 77024.

‘",,2,2,Harris,2025-05-31 11:34:51.164769,True,L/P
RP-2025-204788,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVeIBun9+b4kS65j/ZA7duBbS2bPfwqJCyFwEvwn3JpN0hDnxbXR/pS0Kg6CggW3xed656qpZyGtZXx9mnrUKJXuQ9AQmrFaAP1f5SZr8o8ld7I+VzTXgV0WQkdnrmS15lw==,05/29/2025,":

iston, TX 77024,

‘",,2,2,Harris,2025-05-31 11:35:00.912247,True,L/P
RP-2025-204785,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaQRJiaCGMvLKA+EnP4vlSQw4igKgc5STvP2AxpTSOXVaG1m+3R18jXK2Cc5ghIZIaEeZyUAiRLCig1XIq+w7cxTIOv50yL0E4zSausEkcsK/bYsvsjG3erN9ksy4yMXag==,05/29/2025,":

Ve

‘",,2,2,Harris,2025-05-31 11:35:10.707995,True,L/P
RP-2025-204676,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRKzJcDV6DxpSLYSHNaDu5ncP+4ZiR9CP7C3vfWqOaNm+XhTqKd0o36JluOxApoCNEeTpPZhiOP/UMoDUOH5jGtIbuYAAJc4spzvDL+NXFDrHHz4ANQIL3HoJq+Ws3mHMw==,05/29/2025,"Lot Fifty-Four (54), ie Block Sener (2) of Cypress Paint Sect Six, a sbision ie
Harris County, Texas, accontng to the map or plat thereof, recorded under Fil Cade
‘No. 445089, of the Map Records of Harris County, Texoa and which property i
commonly noun as 14351 Glade Potnt Dr, Cypress, TX 77423.
‘Thi action seeks: (0)",,2,2,Harris,2025-05-31 11:35:20.512211,True,L/P
RP-2025-204579,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYj3tD81dZOiGPcZ+j2Pt2yfqfJIDHJVk4lyL8AFPHhZZgaxq9mguyuQ/LCYUjqo+xPAgRD49UoDZ5erG/DBg1S9BdJHnZkl8ghs2L7jhjuTdnuIt35jgpEGB5T4+/wmag==,05/29/2025,"Smith Grove, Suite 103, Southlake, Texas 76092",,3,3,Harris,2025-05-31 11:35:33.396652,True,L/P
RP-2025-204553,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVeG2ygAjJcKfu+vZGzhioWbwl5QkliArwdogGktYqcJChQJmU6yEFxAdVnu85idLptQVnTR92Uov2feVZiZd3q9Td+CZUPicGyuR0VhgBgbK+PjA05b8m+Xol87OHsPixA==,05/29/2025,"11561 Fridffiship Ln., Conroe, TX 77385",,5,5,Harris,2025-05-31 11:35:44.438508,True,L/P
RP-2025-204408,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWZtCHf89BYj1pLWUfJJAy2HbBGQLnzgQi3kHh95ErFmROZHRiU1DbXGZxID9DydMj0auavRHzNd7hM+hJs4onXnk09yLW/vGzcQQaUotAPJdYzw1Qw2kB9o8Kc+S44hqw==,05/29/2025,"Creek Trail, Houston, Texas 77049",,3,3,Harris,2025-05-31 11:35:55.699811,True,L/P
