case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type,user_id_param
RP-2025-215449,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfOgx071EF7X/EWrZ8HYW19w4PeNJOe6P3YrhQrrH5MdswKI8//ORLbklsz7pfn3amRWfK9AITua3rY/PvrCfLkmH8TM5k4ytu/atwAvqMXcqNJmcwK1G90FFmw5Ssxv2Q==,06/05/2025,00 RIVERSTONE RANCH AT CLEARS get CLEAR,,3,3,Harris,2025-06-08 08:48:29.456649,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-215253,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdj6zijbHcGGme2AuwufAAl/UlpYVVcBoTl95D5R/fAUHNOMPApjaaZ4vb72mb8y1oEjtu2qZbviyXw4GmFCTPczADqIQJMfH8IyRooozwqsg9NdvH3ETV4krKVoYgcBrA==,06/05/2025,":

ty Association, inc. 2.
istrict, and is now

Please see the
West Drive Us

ched Exhibit A nnd which property is commonly known ns 71 E Park.
71, Houston, TX 77072.

‘This sction seeks: (6) recovery af delinquent assessments, interest and other charges autho",,3,3,Harris,2025-06-08 08:48:39.412774,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214839,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYfudXD0DDH2QuWfovsD+4kznf2S2iq9Y1XOO5fv/htbEJN/l9vgEo2CDtG8TAnwuhQnjSK4aD5jyHDwvpmXCaDU0jZYydhy7G+khcOTyzRzAlmy92qnGa3LLGDqWnrF1g==,06/05/2025,2025 ER 29.00 UNITED STATES DISTRICT COURT SOUTHERN DISTRICT OF TEXAS,,3,3,Harris,2025-06-08 08:48:49.621862,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214812,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbkR83Cg42B+pbSdWWlvHN1BdQA51Y2bdzcGIFYpERScwCe9Hz8Cp2JtBTyQ2StlMIsDtcUyhH1uQE1LhNe7wQZu9Q1y1G+g+RT/qrh9K3LY9OkG79bx9sbuFvSgzOyPrA==,06/05/2025,"one = a? OO RE-2025-214812 06/08/2025 ER 25.00 STATE OF TEXAS § § HARRISCOUNTY = § 'Notice is hereby given that « lawsuit that may affect tie {0 real property his been 'commenced by and between Arshoen Memon against Paul Nguyen, The lawsuit was fled on November 20, 2024 and is styled Arshuen Manon v. Prank Gare, of al; Cause No. 2024-81918 pending in the 133"" Jodiciel Distict of Hatris County, Texas. The case involves allegation of find, breach, 'of contra, end negligent miscepresenntion rested to real estate investments, Rolief sought in the suit includes the real property described below: LT 34 BLK 2 PARKSIDE AT PERRY SEC 2, more commonly known a 29927 Pare! Drive Houston, Harris County 'T'X 77| O N 'Signed on this day of Junc 4, 2025. L ""Arshecn Memon, Lis Pendens Filer SWORN TO AND SUBSCRIBED before me, this 4 ""day of June 2025. in FF Bed.",,2,2,Harris,2025-06-08 08:49:00.419459,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214719,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUP3KZgO9K1Zf6rnc7fs4oj51SrMWQx8eGoygmdeMSHIqlILE9f71zvRxgjdi6Uc2mN5VB54eDEl944cGK7nwajUIu3weX+Q7plAS10/bKOjIaGFN/ODjT3D6pbGtwDkBw==,06/05/2025,":

LOT 24, IN BLOCK 1, OF VENTANA LAKEE SHC, A SUBDIVISION IN
HARRIS COUNTY, TEXAS, ACCORDING TO! ‘THE MAP OR PLAT
THEREOF RECORDED UNDER FILM CODE NO .{p58290 OF THE MAP

RECORDS OF HARRIS COUNTY, TEXAY
‘The action seeks foreclosure of Plaintiffs liew'bn the ‘Hgre-referenced Property in reference",,2,2,Harris,2025-06-08 08:49:10.211170,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214654,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTGV8aWJv0unM3GtwLe/AiIvpwqc0B31GxVWw6sPmKT5HveiGOXixg6GywGVU9XHDEcKn1hVHwHNI+oftfi6unA89iAKeDRcCBDXJFhXYDTwR5lGcHj4zUCgKMis+oBVEw==,06/05/2025,"5907 Antcicitt Oaks Drive, Humble, TX 77346",,2,2,Harris,2025-06-08 08:49:20.656680,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214652,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZ9WoPVChEhANC/ZIpmXo4Yh9Hqz10b3qArNJgghqiMzP682XbPFSXAcdDZ56FFvgAFLN/lc3CgTjG1oQ5b/jfqFIxQqBcO4e0+vKRDXl+6DW1XmcEX3v8tVf7w07QNl1g==,06/05/2025,":

Lot Forty-Eight (48), in Block Fify-Three ©3), of Copperfield Middlegate Vilage, Section
‘Three (8), a subdivision in Harris County, Teas, according to the ragp or plat thereof
recorded in Volume 327, Page 30 of the Map Records of Haris County, Texas and tohich
‘property ia commaoaly known a 8574 Hot Springs Doe, Houston, TX 77058,

‘The action seeks injunctive relief and to recover statutory civil damages, reasonable attomey's
feos, costs of court and interest thereon, all related to violations ofthe restrictive covenants encumbering,

UNGFELCEAL -COPY

-Middlegate Village Community Association, Inc

BLANCA GALVAN-",,2,2,Harris,2025-06-08 08:49:30.962048,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214649,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYmcVVx7wfq9StxOiBzavenM/TIGOws227SSyqLZ53IXjf8xvR5ah8Qdc2+dqUQBDkeB7dqAQdhApC1aXP7NxRL7nJFdVnQfAef7+Kiu2VPp/MGYSlWQ538a5WdtHoefPg==,06/05/2025,"THESTATE er. g COUNTY OF HARRI, ET NOTICE of fiat Cause No, 202536048 Middlegate Villnge Community Association, lie. 0, Heidy Elizabeth Disrct, and is now settling in he Court. AP-2025-214649 06/05/2025 ER $25.00 w 'NOTICE OF LIS PENDENS \Garcia; In the District Court of Harris County, Texas, 269th Judicial 'The action necks to establish and enforce. righting real property situated in Harris County, Texas, legally described a: Lat 12, Block 10, Copperfield Middiegate Village Section One (1), an addition in Harris County, Texas, according to the map or plat recorded & Volume 288, Page 120, Map Records of Harris Conitty, Texts had which property is comtotty known a 6326 Clover Gardens Drive, Hann Oe 'The action socks injunction relief 'recover statutory civil damages, reasonable attorney's fees, costs of court and interest thereon, all relate. to violations of the restrictive covenants encumbering, said property.",,2,2,Harris,2025-06-08 08:49:41.956459,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214619,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVL/M80kv2IUA5iYADayUjfR0vByDnpfMqYzPqiULQk/c32D4Qd2OwEZCAhgL6ht3KYxzdNI0nqCtEKiSXvSPoBujmdmGknIEOVfF0ElnRSfh1XFD1cTcC3oLhPAR5+Iew==,06/05/2025,"16027 Elmbratk Drive, Houston, TX 77058",,2,2,Harris,2025-06-08 08:49:54.708335,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
RP-2025-214605,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbavLZ3q+GV7ZRXUjhzOhxlKLdwgW99BK+Q1q3AbnQCjcFTQ5Qfcuds+8QAN3amsj0oNg03rK6WolAt1b7LWNhssWzlnMYPIIzRkoYl7XjxXzchrh6Dg/OLtwBTRj9Vgxw==,06/05/2025,":

Lot 45, in Block 54, of Copperfield Middlogate Village, Section 2, a subdioision in Harria
County, Texas nocording to the map or plat teteof vecorded in Vobane 304, Page 74, of
the Map andfor Plat Records of Harris County, Texas and which property is comme
mown ns 15928 Pinyon Creek Drive, Houston, TX 77095.

‘The action secks injunctive relief and to recover statutory civil dantages, Rafat ap
fees, costs of court and interest thereon, all related to violations gf fi@- “ey Sipyceombning

‘aid property. \

SIGNED this the_ 27k a ys
“Middfegate Village Community Association, Inc,

2025,

[BLANCA GALVAN ~",,2,2,Harris,2025-06-08 08:50:04.759521,True,L/P,0ecf6706-4f3e-4589-ba0d-849b2fe8d641
